origin,destination,count
Tooele,Garfield,200
Tooele,Grand,300
Tooele,Iron,7000
Tooele,Juab,7000
Tooele,Kane,300
Tooele,Millard,5100
Tooele,Morgan,700
Tooele,Piute,100
Tooele,Rich,100
Tooele,Salt Lake,454100
Tooele,San Juan,700
Tooele,Sanpete,900
Tooele,Sevier,1500
Tooele,Summit,27800
Tooele,Tooele,0
Tooele,Uintah,1100
Tooele,Utah,43600
Tooele,Wasatch,2200
Tooele,Washington,4600
Tooele,Wayne,0
Tooele,Weber,32200
Uintah,Beaver,0
Uintah,Box Elder,1900
Uintah,Cache,200
Uintah,Carbon,13400
Uintah,Daggett,2600
Uintah,Davis,18700
Uintah,Duchesne,203000
Uintah,Emery,700
Uintah,Garfield,0
Uintah,Grand,600
Uintah,Iron,0
Uintah,Juab,400
Uintah,Kane,0
Uintah,Millard,100
Uintah,Morgan,300
Uintah,Piute,0
Uintah,Rich,0
Uintah,Salt Lake,15600
Uintah,San Juan,400
Uintah,Sanpete,100
Uintah,Sevier,400
Uintah,Summit,900
Uintah,Tooele,1100
Uintah,Uintah,0
Uintah,Utah,9700
Uintah,Wasatch,8000
Uintah,Washington,0
Uintah,Wayne,0
Uintah,Weber,1200
Utah,Beaver,49500
Utah,Box Elder,69400
Utah,Cache,9800
Utah,Carbon,54200
Utah,Daggett,0
Utah,Davis,173400
Utah,Duchesne,23500
Utah,Emery,31300
Utah,Garfield,1700
Utah,Grand,10600
Utah,Iron,78400
Utah,Juab,98700
Utah,Kane,4700
Utah,Millard,44000
Utah,Morgan,5500
Utah,Piute,600
Utah,Rich,100
Utah,Salt Lake,1723100
Utah,San Juan,16800
Utah,Sanpete,25200
Utah,Sevier,17100
Utah,Summit,55900
Utah,Tooele,44100
Utah,Uintah,8400
Utah,Utah,0
Utah,Wasatch,76800
Utah,Washington,36400
Utah,Wayne,400
Utah,Weber,80200
Wasatch,Beaver,900
Wasatch,Box Elder,2200
Wasatch,Cache,600
Wasatch,Carbon,1000
Wasatch,Daggett,0
Wasatch,Davis,27400
Wasatch,Duchesne,47900
Wasatch,Emery,100
Wasatch,Garfield,0
Wasatch,Grand,100
Wasatch,Iron,1700
Wasatch,Juab,2100
Wasatch,Kane,0
Wasatch,Millard,1100
Wasatch,Morgan,2000
Wasatch,Piute,0
Wasatch,Rich,100
Wasatch,Salt Lake,120200
Wasatch,San Juan,0
Wasatch,Sanpete,100
Wasatch,Sevier,300
Wasatch,Summit,144300
Wasatch,Tooele,2200
Wasatch,Uintah,10500
Wasatch,Utah,81100
Wasatch,Wasatch,0
Wasatch,Washington,400
Wasatch,Wayne,100
Wasatch,Weber,4400
Washington,Beaver,66800
Washington,Box Elder,12700
Washington,Cache,500
Washington,Carbon,300
Washington,Daggett,0
Washington,Davis,11800
Washington,Duchesne,200
Washington,Emery,8200
Washington,Garfield,8000
Washington,Grand,1600
Washington,Iron,295300
Washington,Juab,27700
Washington,Kane,24700
Washington,Millard,36900
Washington,Morgan,100
Washington,Piute,300
Washington,Rich,0
Washington,Salt Lake,57900
Washington,San Juan,600
Washington,Sanpete,600
Washington,Sevier,29200
Washington,Summit,2700
Washington,Tooele,5900
Washington,Uintah,0
Washington,Utah,37800
Washington,Wasatch,400
Washington,Washington,0
Washington,Wayne,300
Washington,Weber,5200
Wayne,Beaver,100
Wayne,Box Elder,0
Wayne,Cache,0
Wayne,Carbon,300
Wayne,Daggett,0
Wayne,Davis,100
Wayne,Duchesne,0
Wayne,Emery,900
Wayne,Garfield,3000
Wayne,Grand,1700
Wayne,Iron,200
Wayne,Juab,200
Wayne,Kane,200
Wayne,Millard,300
Wayne,Morgan,0
Wayne,Piute,400
Wayne,Rich,0
Wayne,Salt Lake,500
Wayne,San Juan,900
Wayne,Sanpete,200
Wayne,Sevier,3900
Wayne,Summit,0
Wayne,Tooele,0
Wayne,Uintah,0
Wayne,Utah,300
Wayne,Wasatch,0
Wayne,Washington,200
Wayne,Wayne,0
Wayne,Weber,0
Weber,Beaver,10800
Weber,Box Elder,253900
Weber,Cache,115100
Weber,Carbon,5100
Weber,Daggett,300
Weber,Davis,687600
Weber,Duchesne,1800
Weber,Emery,3300
Weber,Garfield,300
Weber,Grand,1100
Weber,Iron,14800
Weber,Juab,21400
Weber,Kane,800
Weber,Millard,7900
Weber,Morgan,56700
Weber,Piute,200
Weber,Rich,800
Weber,Salt Lake,619600
Weber,San Juan,1200
Weber,Sanpete,1100
Weber,Sevier,2400
Weber,Summit,27300
Weber,Tooele,25200
Weber,Uintah,1600
Weber,Utah,92400
Weber,Wasatch,4800
Weber,Washington,6400
Weber,Wayne,0
Weber,Weber,0
